smoothing,smoothing_strength,cap_fraction,overall_profit_per_dollar,expected_profit,top4_overlap_with_main
weak,1790.5,0.15,-0.11553666828251795,-29759.640532027657,2
weak,1790.5,0.25,-0.11553666828251795,-23937.596107754944,3
weak,1790.5,0.4,-0.11553666828251795,-18529.955851626553,2
main,3581.0,0.15,-0.11553666828251795,-35573.25479150683,2
main,3581.0,0.25,-0.11553666828251795,-29071.731942352384,4
main,3581.0,0.4,-0.11553666828251795,-24081.617387717382,3
strong,7162.0,0.15,-0.11553666828251795,-40737.705750394896,3
strong,7162.0,0.25,-0.11553666828251795,-34589.465421382636,4
strong,7162.0,0.4,-0.11553666828251795,-30738.150634020167,3
