Month,rows,impressions,clicks,conversions,cost,revenue,sale_amount,profit,ctr,conversion_rate,cpc,cost_per_conversion,roas,profit_per_dollar
August,38,358832,119034,12230,84225,72116,1605066.0,-12106.978,0.33172626744548983,0.10274375388544449,0.7075709461162357,6.8867538838920686,0.8562303354111012,-0.14374565746512316
July,38,516310,191551,17762,120541,98615,2148710.32,-21922.857,0.37099998063179096,0.09272726323537857,0.6292893276464231,6.786454228127463,0.8181033839108685,-0.18187054197327052
November,39,1163739,380920,43267,280753,252833,5298755.35,-27921.666999999998,0.3273242539779109,0.11358552977003045,0.7370392733382337,6.4888483139575195,0.900553155264592,-0.09945278233892424
October,37,325423,116711,13312,78256,79303,1676593.5,1046.2119999999998,0.3586439802964142,0.11405951452733676,0.6705109201360626,5.878605769230769,1.0133791658147617,0.013369096299325289
September,38,310395,116287,9425,71597,59093,1319949.14,-12503.474,0.374641988434092,0.08104947242598055,0.6156922097912922,7.596498673740053,0.8253558109976675,-0.17463684232579577
